TAT_ID|KD_PLU|TGL_AWAL|TGL_AKHIR|FLAGPROD
5980/TAT/HO/09/2022|20069690|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20080431|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20084116|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20084978|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20092877|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20093523|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20093524|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20095509|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20102839|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20106236|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20106981|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20108266|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20113294|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20113683|26/09/2022|30/09/2022|HBS=Y
5889/TAT/HO/09/2022|20082443|07/09/2022|30/09/2022|HBS=Y
5889/TAT/HO/09/2022|20088175|07/09/2022|30/09/2022|HBS=Y
5889/TAT/HO/09/2022|20112384|07/09/2022|30/09/2022|HBS=Y
5889/TAT/HO/09/2022|20115098|07/09/2022|30/09/2022|HBS=Y
5889/TAT/HO/09/2022|20115326|07/09/2022|30/09/2022|HBS=Y
5889/TAT/HO/09/2022|20115327|07/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20026088|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20077795|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20088410|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20088411|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20088412|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20103567|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20103568|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20103570|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20103571|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20103572|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20104080|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20104082|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20104083|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20104084|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20104403|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20107047|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20107048|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20110288|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20117269|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20119380|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20119381|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20119384|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20119393|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20119394|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20119395|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20119396|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20119962|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20119963|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20120549|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20120550|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20120551|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20120552|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20120553|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20120554|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20120555|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20120556|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20120557|28/09/2022|30/09/2022|HBS=Y
5987/TAT/HO/09/2022|20120558|28/09/2022|30/09/2022|HBS=Y
5843/TAT/HO/08/2022|20040897|01/09/2022|30/09/2022|HBS=Y
5843/TAT/HO/08/2022|20054820|01/09/2022|30/09/2022|HBS=Y
5843/TAT/HO/08/2022|20054821|01/09/2022|30/09/2022|HBS=Y
5843/TAT/HO/08/2022|20054823|01/09/2022|30/09/2022|HBS=Y
5843/TAT/HO/08/2022|20054825|01/09/2022|30/09/2022|HBS=Y
5843/TAT/HO/08/2022|20054826|01/09/2022|30/09/2022|HBS=Y
5843/TAT/HO/08/2022|20054827|01/09/2022|30/09/2022|HBS=Y
5843/TAT/HO/08/2022|20059985|01/09/2022|30/09/2022|HBS=Y
5843/TAT/HO/08/2022|20059987|01/09/2022|30/09/2022|HBS=Y
5843/TAT/HO/08/2022|20067168|01/09/2022|30/09/2022|HBS=Y
5843/TAT/HO/08/2022|20069643|01/09/2022|30/09/2022|HBS=Y
5843/TAT/HO/08/2022|20087297|01/09/2022|30/09/2022|HBS=Y
