PLU|DC|WILAYAH|FLAGPROD|MINOR|TIPE_GDG
10013548|G097|MDO|BAP=Y|1000|
10013557|G097|MDO|BAP=Y|1|
10013558|G097|MDO|BAP=Y|1|
10013569|G097|MDO||1|
10013572|G097|MDO||1|
10013575|G097|MDO|TBO=N|1|
10013671|G097|MDO||2|C
10013693|G097|MDO||1|
10013751|G097|MDO||1|
10013821|G097|MDO||1|
10013844|G097|MDO|BAP=Y|5|
10013885|G097|MDO||4|
10014035|G097|MDO||1|
10014036|G097|MDO||1|
10014075|G097|MDO||2|
10014129|G097|MDO||1|
10014154|G097|MDO||1|
10014168|G097|MDO|TBO=N|2|
10014246|G097|MDO|TBO=Y|2|
10014260|G097|MDO||1|
10014263|G097|MDO||1|
10014292|G097|MDO||24|
10014293|G097|MDO||24|
10014404|G097|MDO||4|
10014526|G097|MDO||10|
10014528|G097|MDO||10|
10014567|G097|MDO||2|
10014740|G097|MDO||1|
10014741|G097|MDO||1|
10014778|G097|MDO||1|
10015124|G097|MDO|TBO=N|2|
10015137|G097|MDO||0|
10015149|G097|MDO|TBO=N|1|
10015195|G097|MDO||0|
10015228|G097|MDO||2|C
10015314|G097|MDO||1|
10015367|G097|MDO|BAP=Y|1000|
10015375|G097|MDO||0|
10015376|G097|MDO||0|
10015378|G097|MDO||0|
10015394|G097|MDO||1|
10015435|G097|MDO||1|
10015436|G097|MDO||1|
10015438|G097|MDO||1|
10015461|G097|MDO||1|
10015490|G097|MDO||0|
10015523|G097|MDO||1|
10015526|G097|MDO||1|
10015532|G097|MDO|TBO=N|24|
10015550|G097|MDO||2|
10015646|G097|MDO|TBO=Y|1|
10015648|G097|MDO||1|
10015650|G097|MDO||1|
10015651|G097|MDO||1|
10015652|G097|MDO||1|
10015653|G097|MDO||1|
10015683|G097|MDO||1|
10015684|G097|MDO|TBO=Y|1|
10015694|G097|MDO||1|
10015698|G097|MDO||3|
10015814|G097|MDO||1|
10015843|G097|MDO||0|
10015861|G097|MDO|TBO=N|2|
10015919|G097|MDO||1|
10015921|G097|MDO||1|
10015954|G097|MDO||40|
10015971|G097|MDO||0|
10016026|G097|MDO||2|
10016064|G097|MDO||1|
10016079|G097|MDO|TBO=N|2|
